"nat"	"t"	"K"	"cK"	"Gclu"	"Aclu"	"cC"	"D"	"L"	"E"	"cL"	"ent"	"AS"	"ASG"
4.23	0.47	150.239520958084	150.239520958084	0.941747974852209	0.94557202264827	0.90505735516918	3	1.09508693456461	12545	1.02110098060618	3.34041194960807	-0.030157030081893	0.00478455905957998
4.32	0.48	150.239520958084	150.239520958084	0.941747974852209	0.94557202264827	0.90505735516918	3	1.09508693456461	12545	1.02110098060618	3.34041194960807	-0.030157030081893	0.00478455905957998
4.41	0.49	150.239520958084	150.239520958084	0.941747974852209	0.94557202264827	0.90505735516918	3	1.09508693456461	12545	1.02110098060618	3.34041194960807	-0.030157030081893	0.00478455905957998
4.5	0.5	150.239520958084	150.239520958084	0.941747974852209	0.94557202264827	0.90505735516918	3	1.09508693456461	12545	1.02110098060618	3.34041194960807	-0.030157030081893	0.00478455905957998
4.59	0.51	150.239520958084	150.239520958084	0.941747974852209	0.94557202264827	0.90505735516918	3	1.09508693456461	12545	1.02110098060618	3.34041194960807	-0.030157030081893	0.00478455905957998
4.68	0.52	150.239520958084	150.239520958084	0.941747974852209	0.94557202264827	0.90505735516918	3	1.09508693456461	12545	1.02110098060618	3.34041194960807	-0.030157030081893	0.00478455905957998
4.77	0.53	150.239520958084	150.239520958084	0.941747974852209	0.94557202264827	0.90505735516918	3	1.09508693456461	12545	1.02110098060618	3.34041194960807	-0.030157030081893	0.00478455905957998
4.86	0.54	150.239520958084	150.239520958084	0.941747974852209	0.94557202264827	0.90505735516918	3	1.09508693456461	12545	1.02110098060618	3.34041194960807	-0.030157030081893	0.00478455905957998
4.95	0.55	150.239520958084	150.239520958084	0.941747974852209	0.94557202264827	0.90505735516918	3	1.09508693456461	12545	1.02110098060618	3.34041194960807	-0.030157030081893	0.00478455905957998
5.04	0.56	161.413173652695	161.413173652695	0.981343082590146	0.981772881824957	0.972368515980088	2	1.02763148401991	13478	1.00669289085995	2.65671217959115	-0.0260140349000734	-0.00268723068576199
5.13	0.57	161.413173652695	161.413173652695	0.981343082590146	0.981772881824957	0.972368515980088	2	1.02763148401991	13478	1.00669289085995	2.65671217959115	-0.0260140349000734	-0.00268723068576199
5.22	0.58	161.413173652695	161.413173652695	0.981343082590146	0.981772881824957	0.972368515980088	2	1.02763148401991	13478	1.00669289085995	2.65671217959115	-0.0260140349000734	-0.00268723068576199
5.31	0.59	161.413173652695	161.413173652695	0.981343082590146	0.981772881824957	0.972368515980088	2	1.02763148401991	13478	1.00669289085995	2.65671217959115	-0.0260140349000734	-0.00268723068576199
5.4	0.6	161.413173652695	161.413173652695	0.981343082590146	0.981772881824957	0.972368515980088	2	1.02763148401991	13478	1.00669289085995	2.65671217959115	-0.0260140349000734	-0.00268723068576199
5.49	0.61	161.413173652695	161.413173652695	0.981343082590146	0.981772881824957	0.972368515980088	2	1.02763148401991	13478	1.00669289085995	2.65671217959115	-0.0260140349000734	-0.00268723068576199
5.58	0.62	161.413173652695	161.413173652695	0.981343082590146	0.981772881824957	0.972368515980088	2	1.02763148401991	13478	1.00669289085995	2.65671217959115	-0.0260140349000734	-0.00268723068576199
5.67	0.63	161.413173652695	161.413173652695	0.981343082590146	0.981772881824957	0.972368515980088	2	1.02763148401991	13478	1.00669289085995	2.65671217959115	-0.0260140349000734	-0.00268723068576199
5.76	0.64	161.413173652695	161.413173652695	0.981343082590146	0.981772881824957	0.972368515980088	2	1.02763148401991	13478	1.00669289085995	2.65671217959115	-0.0260140349000734	-0.00268723068576199
5.85	0.65	161.413173652695	161.413173652695	0.981343082590146	0.981772881824957	0.972368515980088	2	1.02763148401991	13478	1.00669289085995	2.65671217959115	-0.0260140349000734	-0.00268723068576199
5.94	0.66	161.413173652695	161.413173652695	0.981343082590146	0.981772881824957	0.972368515980088	2	1.02763148401991	13478	1.00669289085995	2.65671217959115	-0.0260140349000734	-0.00268723068576199
6.03	0.67	164.88622754491	164.88622754491	0.994673685161517	0.994716110486896	0.993290527378977	2	1.00670947262102	13768	1.00249509664465	1.61525821600804	-0.0221680892103668	-0.00454838250719454
6.12	0.68	164.88622754491	164.88622754491	0.994673685161517	0.994716110486896	0.993290527378977	2	1.00670947262102	13768	1.00249509664465	1.61525821600804	-0.0221680892103668	-0.00454838250719454
6.21	0.69	164.88622754491	164.88622754491	0.994673685161517	0.994716110486896	0.993290527378977	2	1.00670947262102	13768	1.00249509664465	1.61525821600804	-0.0221680892103668	-0.00454838250719454
6.3	0.7	164.88622754491	164.88622754491	0.994673685161517	0.994716110486896	0.993290527378977	2	1.00670947262102	13768	1.00249509664465	1.61525821600804	-0.0221680892103668	-0.00454838250719454
6.39	0.71	164.88622754491	164.88622754491	0.994673685161517	0.994716110486896	0.993290527378977	2	1.00670947262102	13768	1.00249509664465	1.61525821600804	-0.0221680892103668	-0.00454838250719454
6.48	0.72	164.88622754491	164.88622754491	0.994673685161517	0.994716110486896	0.993290527378977	2	1.00670947262102	13768	1.00249509664465	1.61525821600804	-0.0221680892103668	-0.00454838250719454
6.57	0.73	164.88622754491	164.88622754491	0.994673685161517	0.994716110486896	0.993290527378977	2	1.00670947262102	13768	1.00249509664465	1.61525821600804	-0.0221680892103668	-0.00454838250719454
6.66	0.74	164.88622754491	164.88622754491	0.994673685161517	0.994716110486896	0.993290527378977	2	1.00670947262102	13768	1.00249509664465	1.61525821600804	-0.0221680892103668	-0.00454838250719454
6.75	0.75	164.88622754491	164.88622754491	0.994673685161517	0.994716110486896	0.993290527378977	2	1.00670947262102	13768	1.00249509664465	1.61525821600804	-0.0221680892103668	-0.00454838250719454
6.84	0.76	164.88622754491	164.88622754491	0.994673685161517	0.994716110486896	0.993290527378977	2	1.00670947262102	13768	1.00249509664465	1.61525821600804	-0.0221680892103668	-0.00454838250719454
6.93	0.77	164.88622754491	164.88622754491	0.994673685161517	0.994716110486896	0.993290527378977	2	1.00670947262102	13768	1.00249509664465	1.61525821600804	-0.0221680892103668	-0.00454838250719454
7.02	0.78	165.832335329341	165.832335329341	0.999040527841122	0.999042130607757	0.998989971863502	2	1.0010100281365	13847	1.00137284168485	0.523826323127649	-0.019115897211059	-0.00575955955009169
7.11	0.79	165.832335329341	165.832335329341	0.999040527841122	0.999042130607757	0.998989971863502	2	1.0010100281365	13847	1.00137284168485	0.523826323127649	-0.019115897211059	-0.00575955955009169
7.2	0.8	165.832335329341	165.832335329341	0.999040527841122	0.999042130607757	0.998989971863502	2	1.0010100281365	13847	1.00137284168485	0.523826323127649	-0.019115897211059	-0.00575955955009169
7.29	0.81	165.832335329341	165.832335329341	0.999040527841122	0.999042130607757	0.998989971863502	2	1.0010100281365	13847	1.00137284168485	0.523826323127649	-0.019115897211059	-0.00575955955009169
7.38	0.82	165.832335329341	165.832335329341	0.999040527841122	0.999042130607757	0.998989971863502	2	1.0010100281365	13847	1.00137284168485	0.523826323127649	-0.019115897211059	-0.00575955955009169
7.47	0.83	165.832335329341	165.832335329341	0.999040527841122	0.999042130607757	0.998989971863502	2	1.0010100281365	13847	1.00137284168485	0.523826323127649	-0.019115897211059	-0.00575955955009169
7.56	0.84	165.832335329341	165.832335329341	0.999040527841122	0.999042130607757	0.998989971863502	2	1.0010100281365	13847	1.00137284168485	0.523826323127649	-0.019115897211059	-0.00575955955009169
7.65	0.85	165.832335329341	165.832335329341	0.999040527841122	0.999042130607757	0.998989971863502	2	1.0010100281365	13847	1.00137284168485	0.523826323127649	-0.019115897211059	-0.00575955955009169
7.74	0.86	165.832335329341	165.832335329341	0.999040527841122	0.999042130607757	0.998989971863502	2	1.0010100281365	13847	1.00137284168485	0.523826323127649	-0.019115897211059	-0.00575955955009169
7.83	0.87	165.832335329341	165.832335329341	0.999040527841122	0.999042130607757	0.998989971863502	2	1.0010100281365	13847	1.00137284168485	0.523826323127649	-0.019115897211059	-0.00575955955009169
7.92	0.88	165.832335329341	165.832335329341	0.999040527841122	0.999042130607757	0.998989971863502	2	1.0010100281365	13847	1.00137284168485	0.523826323127649	-0.019115897211059	-0.00575955955009169
8.01	0.89	165.976047904192	165.976047904192	0.999856543413549	0.999856584749452	0.999855710266215	2	1.00014428973379	13859	1.00120315189989	0.146347832849108	-0.0140360718326945	-0.00597306999563147
8.1	0.9	165.976047904192	165.976047904192	0.999856543413549	0.999856584749452	0.999855710266215	2	1.00014428973379	13859	1.00120315189989	0.146347832849108	-0.0140360718326945	-0.00597306999563147
8.19	0.91	165.976047904192	165.976047904192	0.999856543413549	0.999856584749452	0.999855710266215	2	1.00014428973379	13859	1.00120315189989	0.146347832849108	-0.0140360718326945	-0.00597306999563147
8.28	0.92	165.976047904192	165.976047904192	0.999856543413549	0.999856584749452	0.999855710266215	2	1.00014428973379	13859	1.00120315189989	0.146347832849108	-0.0140360718326945	-0.00597306999563147
8.37	0.93	165.976047904192	165.976047904192	0.999856543413549	0.999856584749452	0.999855710266215	2	1.00014428973379	13859	1.00120315189989	0.146347832849108	-0.0140360718326945	-0.00597306999563147
8.46	0.94	165.976047904192	165.976047904192	0.999856543413549	0.999856584749452	0.999855710266215	2	1.00014428973379	13859	1.00120315189989	0.146347832849108	-0.0140360718326945	-0.00597306999563147
8.55	0.95	165.976047904192	165.976047904192	0.999856543413549	0.999856584749452	0.999855710266215	2	1.00014428973379	13859	1.00120315189989	0.146347832849108	-0.0140360718326945	-0.00597306999563147
8.64	0.96	165.976047904192	165.976047904192	0.999856543413549	0.999856584749452	0.999855710266215	2	1.00014428973379	13859	1.00120315189989	0.146347832849108	-0.0140360718326945	-0.00597306999563147
8.73	0.97	165.976047904192	165.976047904192	0.999856543413549	0.999856584749452	0.999855710266215	2	1.00014428973379	13859	1.00120315189989	0.146347832849108	-0.0140360718326945	-0.00597306999563147
8.82	0.98	165.976047904192	165.976047904192	0.999856543413549	0.999856584749452	0.999855710266215	2	1.00014428973379	13859	1.00120315189989	0.146347832849108	-0.0140360718326945	-0.00597306999563147
8.91	0.99	165.976047904192	165.976047904192	0.999856543413549	0.999856584749452	0.999855710266215	2	1.00014428973379	13859	1.00120315189989	0.146347832849108	-0.0140360718326945	-0.00597306999563147
9	1	166	166	1	1	1	1	1	13861	1.00117489014232	0	NA	-0.00602409638554215
