"nat"	"t"	"K"	"cK"	"Gclu"	"Aclu"	"cC"	"D"	"L"	"E"	"cL"	"ent"	"AS"	"ASG"
47.97	0.41	37.1377245508982	37.1377245508982	0.770139634801289	0.892359951558637	0.223721232234327	4	1.5622929092114	3101	1.41590955588181	4.95747649167696	0.398815356727497	0.380082479223228
49.14	0.42	42.7784431137725	42.7784431137725	0.811201230862744	0.9008259726016	0.257701464540798	4	1.44267726971504	3572	1.36260571385104	4.91224171372983	0.508686853603608	0.384079316540773
50.31	0.43	44.8982035928144	44.8982035928144	0.825261039667666	0.903641756202445	0.270471105980809	3	1.40888005301524	3749	1.34528356439451	4.88936309422606	0.551255461199186	0.38343934663772
51.48	0.44	47.6646706586826	47.6646706586826	0.850425338950945	0.915026456412858	0.287136570233028	3	1.36597084161696	3980	1.32446727377704	4.88831317675227	0.608162988398684	0.378330500267543
52.65	0.45	50.2754491017964	50.2754491017964	0.872039839348584	0.92474236388247	0.302864151215641	3	1.3194168323393	4198	1.30643823222269	4.74792920445124	0.638380768887156	0.364869261001259
53.82	0.46	52.9221556886228	52.9221556886228	0.880120572625874	0.92691306580742	0.318808166798932	3	1.30561432058584	4419	1.28954982559721	4.65005777905045	0.652597421715825	0.356047516431651
54.99	0.47	54.7065868263473	54.7065868263473	0.883058616990149	0.927763872710576	0.329557751965948	3	1.27567127746135	4568	1.27886409831206	4.51105775769715	0.664413278870281	0.347599819102637
56.16	0.48	58.1317365269461	58.1317365269461	0.893290750078915	0.919837756331627	0.350191183897266	4	1.81979189727695	4854	1.25974819819211	4.76282202079624	0.709105786636754	0.336009826336557
57.33	0.49	59.7964071856287	59.7964071856287	0.898204997553187	0.925936851258804	0.360219320395354	4	1.71695815806952	4993	1.25105399571544	4.75940511534489	0.717053419238376	0.33226275439483
58.5	0.5	61.1976047904192	61.1976047904192	0.902266343825666	0.926162238771317	0.368660269821802	4	1.6560770422847	5110	1.24401054822773	4.64620516222319	0.724073312016869	0.327559840076465
59.67	0.51	62.8622754491018	62.8622754491018	0.909087768750345	0.930859845530508	0.37868840631989	4	1.60658957015056	5249	1.23594790390792	4.71510953971821	0.727512737960926	0.317636608968051
60.84	0.52	64.059880239521	64.059880239521	0.913949327767369	0.934455520045076	0.385902893009162	4	1.55127645646956	5349	1.23034072030882	4.63929308864154	0.737555305465847	0.31608987948328
62.01	0.53	65.9640718562874	65.9640718562874	0.924673206745721	0.942134920871371	0.397373926845105	4	1.45352389264674	5508	1.22173768028786	4.28750368371406	0.749283805856298	0.313778923216876
63.18	0.54	67.0778443113772	67.0778443113772	0.928853989396518	0.94707483964805	0.404083399466128	4	1.43661357189614	5601	1.21687392271866	4.22209967511778	0.759859612454074	0.314461334852686
64.35	0.55	68.4550898203593	68.4550898203593	0.931670999763649	0.948353213396697	0.412380059158791	3	1.39690159284312	5716	1.21102185587264	4.27071116168804	0.748144554940357	0.315312616127228
